日期,开盘,最高,最低,收盘,成交量,成交额
2015-09-02,675.16,710.70,670.31,684.30,7475091,6445882368.00
2015-09-07,684.20,705.79,679.60,685.58,5885984,5264241664.00
2015-09-08,681.28,708.23,671.07,707.26,5589948,5125716992.00
2015-09-09,714.94,731.36,710.67,724.84,9585676,9498983424.00
2015-09-10,711.41,717.02,703.10,705.91,5997937,5927601152.00
2015-09-11,707.05,718.79,701.52,718.63,5180437,5631080960.00
2015-09-14,722.89,724.96,670.11,693.18,9198664,9242572800.00
2015-09-15,671.74,681.82,651.09,653.74,6024542,5928050688.00
2015-09-16,653.11,702.05,651.95,697.36,7023259,7318178304.00
2015-09-17,696.30,712.17,684.01,684.67,8263045,8938852352.00
2015-09-18,694.32,697.18,681.37,690.41,5191846,5650340352.00
2015-09-21,686.43,705.54,684.95,704.46,5328067,5756293632.00
2015-09-22,704.27,713.72,699.63,708.25,6329695,6573142528.00
2015-09-23,697.53,702.30,690.07,693.73,4926697,4975987200.00
2015-09-24,695.80,702.29,692.67,701.53,4366303,4721164800.00
2015-09-25,706.92,713.48,689.97,696.00,6679060,5958988288.00
2015-09-28,692.07,694.29,677.59,693.86,3733447,3562245120.00
2015-09-29,682.87,688.56,679.82,682.71,3478083,3407557120.00
2015-09-30,684.66,687.10,680.47,682.23,2387909,2403563008.00
2015-10-08,703.42,706.33,698.44,703.25,4679526,4771387392.00
2015-10-09,702.29,726.16,699.34,719.67,6399538,6077250560.00
2015-10-12,723.42,762.39,721.47,753.96,11306708,11357700096.00
2015-10-13,742.84,757.71,740.25,755.28,8469279,8784054272.00
2015-10-14,756.96,770.22,751.98,754.34,9033246,9360656384.00
2015-10-15,762.36,772.58,758.82,772.58,8360121,8837157888.00
2015-10-16,775.46,782.83,762.74,781.72,9585885,10382533632.00
2015-10-19,779.37,780.07,766.26,772.06,7903172,9001403392.00
2015-10-20,770.64,780.35,766.34,780.08,7095009,7811647488.00
2015-10-21,785.41,790.08,738.73,743.04,14242500,14175756288.00
2015-10-22,735.10,756.36,732.34,756.08,8772083,8772747264.00
2015-10-23,758.04,772.68,752.38,771.86,11135655,12678134784.00
2015-10-26,775.99,776.76,759.35,768.44,10609625,12779940864.00
2015-10-27,759.72,764.35,737.78,761.00,7482142,8628905984.00
2015-10-28,753.94,759.72,743.79,747.11,8336196,9605805056.00
2015-10-29,744.50,745.66,731.31,740.82,5900723,6973662720.00
2015-10-30,734.47,734.47,719.32,725.54,5226859,5939472896.00
2015-11-02,710.69,721.31,703.13,705.13,5994847,6726155264.00
2015-11-03,704.84,710.18,697.55,704.07,4417287,4963279360.00
2015-11-04,701.95,731.37,701.93,731.37,7286781,7866731008.00
2015-11-05,729.43,743.76,726.79,733.87,10892561,10671713280.00
2015-11-06,732.40,748.79,730.04,748.75,9637511,11002786816.00
2015-11-09,741.49,750.60,732.30,747.75,9798821,10836089856.00
2015-11-10,748.40,783.70,746.66,776.73,15871020,16898541568.00
2015-11-11,770.96,776.34,764.80,772.31,11793211,13924660224.00
2015-11-12,771.70,776.82,761.80,770.18,9628173,11742687232.00
2015-11-13,762.32,769.98,752.19,758.53,8834841,11055816704.00
2015-11-16,760.24,784.15,760.00,784.15,8760811,10327128064.00
2015-11-17,781.63,787.69,771.76,773.88,9289603,11661563904.00
2015-11-18,770.93,774.46,758.83,762.15,5978004,7565945344.00
2015-11-19,763.68,774.58,761.83,774.58,5293156,6804167680.00
2015-11-20,776.64,785.03,776.01,783.09,8002066,10481165312.00
2015-11-23,781.80,783.07,768.58,772.68,7131364,8842214400.00
2015-11-24,770.43,771.42,761.52,771.07,4884298,5997256704.00
2015-11-25,778.59,784.58,777.65,784.58,7124747,8682046464.00
2015-11-26,780.82,795.68,779.61,784.92,8324743,10048468992.00
2015-11-27,781.00,782.31,729.04,737.19,8317659,9544638464.00
2015-11-30,735.45,739.70,699.88,728.36,6142168,6771711488.00
2015-12-01,728.98,738.55,723.88,732.20,4231066,4946431488.00
2015-12-02,729.13,734.08,715.03,733.90,5107556,5209306112.00
2015-12-03,730.55,740.09,727.26,740.00,4168429,4802520064.00
2015-12-04,740.86,749.04,735.59,739.74,4965820,6115548672.00
2015-12-07,748.10,755.60,746.32,753.93,5125212,6617099264.00
2015-12-08,745.43,746.63,733.46,738.57,4879589,6563304960.00
2015-12-09,735.90,750.30,735.80,742.71,4393795,6346074624.00
2015-12-10,738.53,747.51,737.11,740.41,4205260,5979086848.00
2015-12-11,735.99,748.34,729.94,743.26,4779644,6565438464.00
2015-12-14,737.71,777.39,734.44,773.77,10142364,11100085248.00
2015-12-15,765.97,776.91,763.74,772.31,7056754,9356808192.00
2015-12-16,773.69,783.81,771.80,778.17,6325688,8534318592.00
2015-12-17,781.89,784.37,775.36,783.70,6845302,8943378432.00
2015-12-18,776.69,779.15,770.37,778.09,6345106,8590763008.00
2015-12-21,778.84,786.68,776.97,786.05,5920897,7819017728.00
2015-12-22,790.74,797.58,788.50,795.71,6330601,9001917440.00
2015-12-23,794.09,796.07,786.21,787.68,5953608,8630515712.00
2015-12-24,786.29,790.63,778.10,787.95,4266366,6278145024.00
2015-12-25,790.40,792.77,784.05,788.52,3763632,5974947840.00
2015-12-28,791.07,793.96,774.65,774.80,5718397,8034288128.00
2015-12-29,772.89,785.14,767.46,785.14,4519315,6140265472.00
2015-12-30,785.54,788.68,780.05,788.68,4009182,5688926720.00
2015-12-31,786.44,788.66,779.42,780.13,3743675,5452419584.00
2016-01-04,778.27,778.27,720.84,721.56,3895600,4974606336.00
2016-01-05,702.74,737.59,700.90,726.12,6658027,7819799552.00
2016-01-06,726.54,757.10,725.83,757.02,7427179,8478707200.00
2016-01-07,751.00,754.12,699.23,701.24,2422604,2629028608.00
2016-01-08,727.08,740.84,697.06,733.59,9140031,10207442944.00
2016-01-11,720.41,738.74,699.23,699.97,8666198,9739852800.00
2016-01-12,688.58,692.00,665.08,672.88,6627864,6973062656.00
2016-01-13,674.43,677.04,650.38,651.52,5903290,6472683008.00
2016-01-14,650.52,663.15,628.50,662.67,5498824,5631623680.00
2016-01-15,654.44,654.61,626.13,630.71,5481330,5576232960.00
2016-01-18,620.93,643.88,616.67,636.72,3853713,4041097984.00
2016-01-19,634.06,655.96,632.38,655.82,4291929,4438471680.00
2016-01-20,651.04,662.76,644.90,657.21,5040633,5132594688.00
2016-01-21,652.66,664.11,639.54,639.77,4641377,4831017984.00
2016-01-22,640.59,644.73,623.68,642.38,3682023,3751786240.00
2016-01-25,645.84,651.81,639.23,647.09,3145257,3301242112.00
2016-01-26,645.87,647.62,602.13,611.67,4922445,4969692672.00
2016-01-27,612.95,614.68,573.82,597.84,5077054,4784568832.00
2016-01-28,589.87,595.19,562.61,563.80,3787797,3616040192.00
2016-01-29,560.47,583.49,556.49,579.08,3797982,3519818496.00
2016-02-01,578.24,589.61,568.84,578.74,3344074,3001831168.00
2016-02-02,581.72,595.19,581.45,592.87,3104127,2889775872.00
2016-02-03,587.65,597.19,583.07,596.29,3153768,2791549440.00
2016-02-04,608.77,621.64,608.77,615.40,4366718,3848132608.00
2016-02-05,626.24,645.94,626.24,637.28,5944011,5876810240.00
2016-02-15,675.57,687.18,672.06,686.43,9629246,8834286592.00
2016-02-16,678.89,703.96,671.88,698.07,12319071,13032941568.00
2016-02-17,683.05,694.91,680.39,694.55,8438727,9573910528.00
2016-02-18,693.82,694.16,681.49,683.37,6668457,7861867008.00
2016-02-19,690.75,691.56,671.18,676.99,6321357,6914496000.00
2016-02-22,679.73,688.13,677.53,687.46,5909028,6821000192.00
2016-02-23,682.90,698.56,678.99,698.43,8095730,9480214528.00
2016-02-24,693.84,724.63,685.76,714.59,11121152,12097932288.00
2016-02-25,713.02,720.76,662.46,665.08,9749139,10484164608.00
2016-02-26,667.45,672.52,647.16,671.43,6148417,6751884288.00
2016-02-29,660.20,663.90,637.64,648.88,5993007,6638397440.00
2016-03-01,652.70,680.09,649.73,680.05,8913892,9247807488.00
2016-03-02,669.98,703.27,667.71,701.95,9613605,9857937408.00
2016-03-03,702.54,727.86,700.14,727.54,12423964,12537842688.00
2016-03-04,740.98,757.13,724.00,728.71,17368173,17950846976.00
2016-03-07,733.65,766.60,723.15,760.96,14121138,15641026560.00
2016-03-08,754.52,754.52,724.94,743.40,13327947,15316999168.00
2016-03-09,711.55,719.42,702.32,706.24,9192343,10056443904.00
2016-03-10,702.50,717.21,694.32,699.85,7899149,9792488448.00
2016-03-11,714.30,720.22,702.14,705.87,7929617,9619789824.00
2016-03-14,697.07,726.96,696.39,723.06,9400839,10786562048.00
2016-03-15,707.38,708.31,688.19,695.46,7836081,9559327744.00
2016-03-16,693.82,705.76,689.45,701.70,7105486,8341860352.00
2016-03-17,712.57,716.35,702.71,713.29,8397362,9631550464.00
2016-03-18,717.23,733.47,715.21,727.31,11755080,12788981760.00
2016-03-21,724.67,737.23,721.11,736.93,11665409,12899101696.00
2016-03-22,728.07,749.69,725.30,748.42,12788581,15081331712.00
2016-03-23,742.78,748.15,730.83,742.12,11583467,13495603200.00
2016-03-24,726.21,733.80,717.01,723.25,11234723,12853654528.00
2016-03-25,721.93,726.35,712.41,724.00,7780746,9055778816.00
2016-03-28,726.46,732.79,720.69,725.60,8285369,9549370368.00
2016-03-29,723.83,724.34,711.66,716.99,7220134,8292622336.00
2016-03-30,731.04,735.33,722.38,735.14,8349245,9533975552.00
2016-03-31,732.87,737.02,730.18,732.16,7460970,8626719744.00
2016-04-01,731.31,735.99,724.24,734.59,6399290,7654804480.00
2016-04-05,730.05,742.62,722.05,742.11,6975100,7984609792.00
2016-04-06,742.42,750.08,736.26,740.41,7365714,8776137728.00
2016-04-07,738.33,739.31,728.37,729.68,6015712,7053943808.00
2016-04-08,729.76,749.70,729.59,749.70,9911686,12173132800.00
2016-04-11,755.12,779.78,750.29,767.35,10199766,12712000512.00
2016-04-12,768.98,783.46,759.93,769.18,9896345,12659843072.00
