代码      开盘       最新       最高       最低       总量       金额        换手%    量比    涨幅%     涨跌     昨收       
837046    7.96       9.89       9.89       7.96       11.8万     1.11亿      36.94    2.48    29.96     2.28     7.61       
873152    8.48       10.00      10.36      8.48       15.7万     1.49亿      40.42    4.78    22.25     1.82     8.18       
300317    4.04       4.84       4.84       4.04       97.3万     4.61亿      11.76    6.33    20.10     0.81     4.03       
300324    2.98       3.29       3.29       2.88       184万      5.69亿      10.79    2.33    20.07     0.55     2.74       
300530    17.80      21.40      21.40      17.80      9.46万     1.92亿      5.98     1.76    20.02     3.57     17.83      
301349    28.89      34.66      34.66      28.89      3.05万     1.01亿      7.23     2.01    20.01     5.78     28.88      
301292    14.16      16.85      16.85      14.16      5.05万     8429万      11.18    2.82    20.01     2.81     14.04      
301202    28.70      34.42      34.42      27.66      13.6万     4.31亿      39.98    2.17    20.01     5.74     28.68      
300890    23.37      27.95      27.95      23.37      7.69万     2.03亿      7.90     4.51    20.01     4.66     23.29      
300438    22.01      25.91      25.91      22.01      42.5万     10.21亿     11.77    3.59    20.01     4.32     21.59      
688063    85.00      99.60      99.60      85.00      13.7万     12.66亿     7.79     3.51    20.00     16.60    83.00      
300712    21.48      25.14      25.14      21.37      9.21万     2.20亿      4.94     4.66    20.00     4.19     20.95      
301205    91.00      114.00     116.62     91.00      13.4万     13.70亿     19.69    1.65    17.31     16.82    97.18      
300025    8.54       9.91       10.08      8.38       30.7万     2.85亿      7.07     4.00    17.14     1.45     8.46       
300769    41.01      46.60      46.89      41.01      30.2万     13.43亿     12.05    3.38    16.59     6.63     39.97      
300953    45.80      52.80      53.00      45.80      3.18万     1.59亿      6.98     4.99    15.31     7.01     45.79      
831627    11.62      13.13      13.53      11.62      8.37万     1.07亿      34.16    2.71    15.28     1.74     11.39      
688248    27.78      31.07      31.31      27.78      17.2万     5.19亿      7.51     2.57    15.07     4.07     27.00      
300750    165.00     180.85     181.65     164.10     76.3万     132.48亿    1.96     3.31    14.46     22.85    158.00     
301236    46.95      54.91      55.88      46.80      114万      58.80亿     16.78    1.33    14.40     6.91     48.00      
300709    38.80      43.30      44.98      36.89      44.6万     18.08亿     29.96    1.41    14.01     5.32     37.98      
870299    7.13       8.02       8.60       7.05       9.69万     7729万      35.71    2.82    13.60     0.96     7.06       
836239    11.88      13.40      13.50      11.88      3.50万     4516万      7.04     3.58    13.18     1.56     11.84      
300014    38.60      42.50      42.76      38.55      64.9万     26.51亿     3.49     3.19    13.00     4.89     37.61      
873122    50.36      57.11      57.98      50.30      4.99万     2.75亿      38.29    1.38    12.93     6.54     50.57      
300411    8.12       9.00       9.49       8.12       96.3万     8.44亿      35.63    1.56    12.92     1.03     7.97       
300573    163.33     186.80     197.14     161.60     6.28万     11.16亿     6.55     2.73    12.88     21.32    165.48     
300093    20.70      22.51      22.99      20.65      47.2万     10.19亿     21.92    1.75    12.66     2.53     19.98      
688005    29.29      32.42      32.47      29.28      14.1万     4.40亿      4.97     2.42    12.18     3.52     28.90      
300919    48.20      52.88      52.88      48.20      11.4万     5.77亿      1.71     3.64    11.89     5.62     47.26      
688116    21.23      23.21      23.77      20.96      16.3万     3.68亿      4.73     2.36    11.43     2.38     20.83      
688627    62.50      69.95      70.25      61.00      3.28万     2.16亿      15.42    1.58    11.23     7.06     62.89      
301162    52.89      55.10      59.00      51.30      8.81万     4.74亿      14.54    3.39    11.18     5.54     49.56      
300073    33.50      36.62      37.49      33.50      29.6万     10.51亿     5.86     3.09    11.10     3.66     32.96      
688700    35.30      38.99      39.00      35.30      6.90万     2.59亿      4.70     1.84    10.96     3.85     35.14      
301150    28.43      31.33      32.99      28.34      5.95万     1.84亿      8.74     2.79    10.75     3.04     28.29      
300693    30.84      33.16      33.94      30.83      32.0万     10.36亿     12.94    2.70    10.72     3.21     29.95      
688191    14.19      15.29      15.55      13.98      7.83万     1.17亿      10.70    2.65    10.24     1.42     13.87      
834770    7.47       8.20       8.24       7.47       12.3万     9795万      18.63    2.37    10.22     0.76     7.44       
600868    2.28       2.50       2.50       2.27       95.9万     2.36亿      5.05     8.97    10.13     0.23     2.27       
600439    2.39       2.61       2.61       2.37       41.1万     1.03亿      3.63     0.71    10.13     0.24     2.37       
002630    2.37       2.61       2.61       2.35       52.1万     1.33亿      4.92     1.02    10.13     0.24     2.37       
000008    2.83       2.83       2.83       2.83       31.2万     8840万      1.16     0.42    10.12     0.26     2.57       
300731    18.08      20.40      20.48      17.73      21.9万     4.21亿      18.26    1.07    10.09     1.87     18.53      
000782    4.27       4.69       4.69       4.27       10.7万     4959万      2.03     2.25    10.09     0.43     4.26       
002692    3.60       3.93       3.93       3.53       14.1万     5394万      1.96     2.03    10.08     0.36     3.57       
002599    6.90       7.10       7.10       6.66       58.7万     4.12亿      14.59    1.55    10.08     0.65     6.45       
600241    5.94       6.56       6.56       5.88       8.65万     5496万      2.94     2.06    10.07     0.60     5.96       
000042    4.08       4.48       4.48       4.05       26.2万     1.14亿      3.95     2.77    10.07     0.41     4.07       
600819    4.88       5.25       5.25       4.68       43.0万     2.17亿      5.75     3.14    10.06     0.48     4.77       
002298    5.25       5.25       5.25       5.25       3.68万     1932万      0.58     0.15    10.06     0.48     4.77       
601789    4.49       4.49       4.49       4.49       20.8万     9345万      1.92     0.54    10.05     0.41     4.08       
002873    11.61      11.61      11.61      11.61      4331       503万       0.19     0.07    10.05     1.06     10.55      
001896    4.49       4.49       4.49       4.31       32.4万     1.45亿      2.45     0.96    10.05     0.41     4.08       
603520    10.46      11.51      11.51      10.41      13.2万     1.47亿      3.86     2.04    10.04     1.05     10.46      
002846    7.09       7.78       7.78       7.09       4.48万     3381万      1.74     0.69    10.04     0.71     7.07       
002759    8.75       9.21       9.21       8.67       3.49万     3178万      0.86     0.93    10.04     0.84     8.37       
002350    4.98       5.48       5.48       4.98       22.2万     1.20亿      4.20     2.58    10.04     0.50     4.98       
002132    2.71       2.96       2.96       2.71       24.1万     7008万      1.72     1.51    10.04     0.27     2.69       
605218    20.98      21.73      21.73      20.40      8.60万     1.84亿      4.04     0.57    10.03     1.98     19.75      
002796    8.95       9.98       9.98       8.84       16.1万     1.53亿      6.94     1.85    10.03     0.91     9.07       
600818    19.50      20.64      20.64      18.70      19.8万     3.95亿      8.34     0.92    10.02     1.88     18.76      
002902    28.45      28.45      28.45      28.45      2.85万     8099万      1.89     0.09    10.02     2.59     25.86      
002715    11.00      11.53      11.53      11.00      3.19万     3669万      2.31     1.15    10.02     1.05     10.48      
002407    13.48      14.16      14.16      13.40      32.5万     4.55亿      3.00     1.27    10.02     1.29     12.87      
002085    9.10       9.66       9.66       8.95       191万      17.72亿     8.98     1.05    10.02     0.88     8.78       
603810    9.90       10.88      10.88      9.90       6.96万     7330万      4.29     0.96    10.01     0.99     9.89       
603659    17.56      19.01      19.01      17.55      34.4万     6.41亿      1.71     2.25    10.01     1.73     17.28      
600557    19.49      20.67      20.67      19.49      23.7万     4.82亿      4.10     2.38    10.01     1.88     18.79      
002281    38.00      42.86      42.86      37.79      135万      54.44亿     17.82    1.12    10.01     3.90     38.96      
000913    13.24      14.07      14.07      13.13      28.5万     3.94亿      6.23     3.54    10.01     1.28     12.79      
605117    97.99      103.41     103.41     96.15      18.6万     18.64亿     12.75    1.85    10.00     9.40     94.01      
603628    18.75      20.13      20.13      18.61      54.2万     10.49亿     19.79    1.45    10.00     1.83     18.30      
603516    26.62      28.82      28.82      26.16      7.21万     2.00亿      3.89     0.42    10.00     2.62     26.20      
603032    19.01      21.01      21.01      19.00      15.9万     3.20亿      6.95     1.61    10.00     1.91     19.10      
600449    16.20      17.82      17.82      15.85      20.7万     3.49亿      4.33     1.25    10.00     1.62     16.20      
002857    15.29      15.29      15.29      14.10      8.13万     1.22亿      6.35     2.31    10.00     1.39     13.90      
002850    72.55      78.08      78.08      72.55      3.48万     2.68亿      1.81     1.19    10.00     7.10     70.98      
002812    43.10      46.76      46.76      43.07      29.9万     13.61亿     3.61     2.51    10.00     4.25     42.51      
002659    4.10       4.51       4.51       4.08       58.1万     2.56亿      9.71     1.70    10.00     0.41     4.10       
002535    4.59       4.84       4.84       4.56       82.6万     3.98亿      16.61    3.23    10.00     0.44     4.40       
002076    1.81       1.98       1.98       1.79       30.7万     5823万      2.96     1.29    10.00     0.18     1.80       
001283    35.50      38.51      38.51      35.12      1.68万     6232万      2.94     1.89    10.00     3.50     35.01      
605378    18.89      20.80      20.80      18.88      4.11万     8248万      12.34    1.41    9.99      1.89     18.91      
605298    13.76      13.76      13.76      13.76      9601       1321万      0.68     0.45    9.99      1.25     12.51      
603533    18.56      20.58      20.58      18.46      31.1万     6.27亿      7.08     0.97    9.99      1.87     18.71      
603261    37.88      37.88      37.88      34.56      11.0万     4.10亿      41.98    3.54    9.99      3.44     34.44      
603063    23.35      25.11      25.11      23.35      20.9万     5.11亿      4.71     2.27    9.99      2.28     22.83      
002805    11.05      12.11      12.11      11.05      12.0万     1.39亿      5.55     1.82    9.99      1.10     11.01      
002748    7.52       8.26       8.26       7.46       10.0万     8056万      4.17     2.11    9.99      0.75     7.51       
002632    8.30       9.03       9.03       8.27       93.0万     8.06亿      16.01    1.43    9.99      0.82     8.21       
002272    6.88       7.82       7.82       6.60       144万      10.53亿     42.84    3.93    9.99      0.71     7.11       
001301    29.96      32.80      32.80      29.96      5.76万     1.83亿      3.73     3.45    9.99      2.98     29.82      
833523    12.55      13.45      13.92      12.55      4.41万     5895万      9.56     3.86    9.98      1.22     12.23      
603950    15.05      16.20      16.20      15.05      21.0万     3.34亿      6.48     2.61    9.98      1.47     14.73      
603706    13.30      14.32      14.32      13.05      4.14万     5726万      2.19     2.78    9.98      1.30     13.02      
600733    6.30       6.72       6.72       6.20       390万      25.51亿     8.59     1.65    9.98      0.61     6.11       
600207    6.28       6.28       6.28       6.11       66.0万     4.14亿      6.28     1.60    9.98      0.57     5.71       
002709    20.46      21.27      21.27      20.45      23.4万     4.94亿      1.69     1.25    9.98      1.93     19.34      
002544    16.12      17.86      17.86      16.10      15.4万     2.64亿      2.27     2.07    9.98      1.62     16.24      
002336    10.60      10.69      10.69      10.20      23.6万     2.50亿      6.32     1.70    9.98      0.97     9.72       
002261    15.18      16.97      16.97      15.15      131万      21.15亿     11.67    1.34    9.98      1.54     15.43      
002042    4.39       4.85       4.85       4.36       116万      5.41亿      6.82     1.06    9.98      0.44     4.41       
603778    4.10       4.30       4.30       3.98       38.8万     1.64亿      6.03     2.47    9.97      0.39     3.91       
603580    12.46      15.22      15.22      12.46      25.5万     3.76亿      19.55    3.21    9.97      1.38     13.84      
002741    12.06      13.35      13.35      12.06      29.8万     3.94亿      8.25     3.42    9.97      1.21     12.14      
002414    7.50       7.50       7.50       7.50       19.1万     1.43亿      0.56     0.61    9.97      0.68     6.82       
002313    9.93       10.59      10.59      9.68       67.1万     6.74亿      17.93    1.80    9.97      0.96     9.63       
600843    4.55       4.97       4.97       4.54       15.1万     7468万      3.22     1.96    9.96      0.45     4.52       
002346    9.32       10.16      10.16      9.32       7.04万     7095万      1.78     3.20    9.96      0.92     9.24       
603660    8.05       9.06       9.06       8.03       86.5万     7.52亿      17.51    0.81    9.95      0.82     8.24       
002343    6.82       7.63       7.63       6.82       39.5万     2.90亿      8.31     0.88    9.94      0.69     6.94       
600644    5.71       6.31       6.31       5.71       22.4万     1.40亿      4.16     2.46    9.93      0.57     5.74       
002431    2.55       2.55       2.55       2.55       29.5万     7520万      1.98     0.95    9.91      0.23     2.32       
600984    2.53       2.78       2.78       2.53       16.9万     4564万      1.35     0.91    9.88      0.25     2.53       
002775    3.12       3.12       3.12       3.12       9.96万     3107万      2.23     0.77    9.86      0.28     2.84       
300274    102.90     109.17     110.88     101.49     47.1万     49.57亿     4.18     1.60    9.83      9.77     99.40      
301358    27.79      29.08      29.99      27.79      25.3万     7.25亿      6.59     4.09    9.74      2.58     26.50      
301155    49.69      52.79      52.90      48.55      6.98万     3.55亿      7.86     1.56    9.52      4.59     48.20      
430556    4.80       5.27       5.27       4.80       5.40万     2766万      6.82     2.48    9.34      0.45     4.82       
688246    23.80      25.90      27.00      23.80      3.28万     8176万      3.22     2.43    9.28      2.20     23.70      
301259    19.17      20.96      20.96      18.91      4.98万     1.01亿      6.68     1.93    9.22      1.77     19.19      
300037    39.59      42.82      42.90      39.59      21.0万     8.75亿      3.88     1.79    9.21      3.61     39.21      
688331    49.90      53.90      54.50      48.49      2.65万     1.38亿      1.65     1.53    9.11      4.50     49.40      
301238    15.26      16.44      16.73      15.25      15.3万     2.46亿      7.17     3.83    9.09      1.37     15.07      
603773    26.64      29.50      29.64      26.64      12.4万     3.55亿      7.90     1.33    9.06      2.45     27.05      
